text1,text2,prediction,probab_0,probab_1
"Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.",People run together.,1,0.4828331470489502,0.5171668529510498
"Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.",People wait at a station.,0,0.5322977900505066,0.46770215034484863
A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.,A child wearing a red top is standing behind a blond headed child,0,0.907069742679596,0.09293030947446823
A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.,A child wearing a red top is standing on top of a blond headed child,0,0.9086421728134155,0.09135790169239044
"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.",A lady sitting on a bench in the park.,1,0.405502051115036,0.5944979190826416
"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.",A person outside pushing a stroller.,0,0.6482864022254944,0.351713627576828
A dog jumping for a Frisbee in the snow.,A cat washes his face and whiskers with his front paw.,1,0.3314099907875061,0.6685900092124939
A dog jumping for a Frisbee in the snow.,"An animal is outside in the cold weather, playing with a plastic toy.",1,0.39081454277038574,0.6091854572296143
People are conversing at a dining table under a canopy.,People are talking underneath a covering.,1,0.2522718906402588,0.747728168964386
People are conversing at a dining table under a canopy.,People are screaming at a boxing match.,1,0.18458370864391327,0.8154162764549255
A girl playing a violin along with a group of people,A girl is washing a load of laundry.,0,0.5002300143241882,0.4997699558734894
A girl playing a violin along with a group of people,A girl is playing an instrument.,0,0.573872983455658,0.42612704634666443
A woman within an orchestra is playing a violin.,A woman is playing the violin.,0,0.7144803404808044,0.2855195999145508
A woman within an orchestra is playing a violin.,A man is looking in a telescope.,1,0.33235326409339905,0.6676467061042786
"Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.",three men look at the camera,0,0.6844576597213745,0.3155423700809479
"Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.",three men sleeping in a tent,1,0.3816033601760864,0.6183966994285583
A Ford car is making a right turn as 3 males are walking across the street behind the car.,A car making a right turn had three pedestrians cross behind it.,0,0.6068875193595886,0.393112450838089
Three boys in white shirts are walking behind an older model Ford car.,there are three boys,1,0.3365864157676697,0.6634136438369751
Three boys in white shirts are walking behind an older model Ford car.,There are three girls,1,0.32233819365501404,0.6776617765426636
Three boys in white shirts are walking behind an older model Ford car.,The boys are on the street,1,0.4607146978378296,0.5392853021621704
Three girls blow out the candles of a cake made of Peeps.,Some people are blowing out candles,0,0.513583242893219,0.4864167273044586
Three girls blow out the candles of a cake made of Peeps.,There are three girls and a cake,0,0.7494063973426819,0.25059354305267334
Three girls blow out the candles of a cake made of Peeps.,There are peeps in the garden.,1,0.380089670419693,0.6199103593826294
A crowd of people looking up at 3 people on the edge of the roof of a building.,The crowd on the ground is watching 3 people on the roof's edge.,0,0.7117737531661987,0.28822624683380127
A crowd of people looking up at 3 people on the edge of the roof of a building.,Three people are climbing down the ladder on the building.,1,0.4043402373790741,0.5956597924232483
A woman working long hours.,A woman is working.,1,0.303817480802536,0.6961824893951416
A woman working long hours.,A woman is sleeping.,1,0.32276153564453125,0.6772384643554688
Two teenage girls conversing next to lockers.,Girls talking next to the toilet.,1,0.2819465398788452,0.7180534601211548
Two teenage girls conversing next to lockers.,People talking next to lockers.,1,0.3717738389968872,0.6282261610031128
An old woman watches a man look down at some balls on the ground.,Two people are sleeping on the train.,1,0.3520348072052002,0.6479651927947998
"Two children, both wearing tan coats, are embracing one another.",Two kids are hugging.,1,0.30921852588653564,0.6907814145088196
"Two children, both wearing tan coats, are embracing one another.",Two kids are running down a highway.,1,0.28070348501205444,0.7192965149879456
2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other.,Two kids were hugging.,1,0.3526712954044342,0.6473286747932434
2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other.,Two youths were pushing each other.,1,0.21551387012004852,0.7844861745834351
A large number of people wearing only white and red are walking on a street.,A large number of people wearing black walking down the street.,1,0.4294315278530121,0.5705684423446655
A large number of people wearing only white and red are walking on a street.,A large number of people walking on a street.,1,0.42538291215896606,0.5746170878410339
A guy riding a motorcycle near junk cars,A man is riding a motorcycle.,1,0.467099130153656,0.532900869846344
A guy riding a motorcycle near junk cars,A man is sitting on a parked motorcycle waiting for his friend.,1,0.3719295263290405,0.6280704736709595
"Women of India performing with blue streamers, in beautiful blue costumes.",indian women perform together in gorgeous costumes,0,0.9058089852333069,0.09419099986553192
"Women of India performing with blue streamers, in beautiful blue costumes.",dogs sniff the air,1,0.48002639412879944,0.519973635673523
A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land.,A person is swimming.,1,0.21342654526233673,0.7865734696388245
A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land.,The swimmer is eating a toasted marshmallow.,1,0.4891256093978882,0.5108743906021118
The man in the black wetsuit is walking out of the water.,a person is walking out of water.,0,0.5811609625816345,0.4188390374183655
The man in the black wetsuit is walking out of the water.,A man is laying on the beach.,0,0.7032986879348755,0.2967013418674469
Five girls and two guys are crossing a overpass.,The three men sit and talk about their lives.,1,0.2990208864212036,0.7009791135787964
Five girls and two guys are crossing a overpass.,There are people outside.,1,0.2896936535835266,0.7103063464164734
