text,prediction,probab_0,probab_1
equlibrium could pass for a thirteen-year-old's book report on the totalitarian themes of 1984 and farenheit 451 .,1,0.003130438970401883,0.9968696236610413
the lack of naturalness makes everything seem self-consciously poetic and forced . . . it's a pity that [nelson's] achievement doesn't match his ambition . ,1,0.016494501382112503,0.9835055470466614
everything is off .,1,0.007694015745073557,0.9923059344291687
"the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal .",0,0.9411526918411255,0.05884730815887451
"the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth .",0,0.9973827004432678,0.0026172564830631018
effective but too-tepid biopic,1,0.0036832529585808516,0.99631667137146
"if you sometimes like to go to the movies to have fun , wasabi is a good place to start .",0,0.997346043586731,0.002653935458511114
"emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one .",0,0.9921390414237976,0.00786092970520258
the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game .,0,0.9983530044555664,0.0016469721449539065
offers that rare combination of entertainment and education .,0,0.9969058632850647,0.0030941276345402002
perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,1,0.02409246936440468,0.9759075045585632
steers turns in a snappy screenplay that curls at the edges ; it's so clever you want to hate it . but he somehow pulls it off .,1,0.06847444176673889,0.9315255284309387
take care of my cat offers a refreshingly different slice of asian cinema .,0,0.998350977897644,0.0016490654088556767
"this is a film well worth seeing , talking and singing heads and all .",0,0.9984961748123169,0.0015038627898320556
what really surprises about wisegirls is its low-key quality and genuine tenderness .,0,0.9985392093658447,0.0014608511701226234
"( wendigo is ) why we go to the cinema : to be fed through the eye , the heart , the mind .",0,0.9527957439422607,0.047204259783029556
"one of the greatest family-oriented , fantasy-adventure movies ever .",0,0.997057318687439,0.002942675491794944
"ultimately , it ponders the reasons we need stories so much .",1,0.20595429837703705,0.7940457463264465
an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question .,0,0.9980502128601074,0.0019498382462188601
illuminating if overly talky documentary .,1,0.14166106283664703,0.8583388924598694
a masterpiece four years in the making .,0,0.9981085062026978,0.001891433377750218
"the movie's ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries .",1,0.25065940618515015,0.7493405938148499
offers a breath of the fresh air of true sophistication .,0,0.9963089823722839,0.0036909410264343023
"a thoughtful , provocative , insistently humanizing film .",0,0.9983865022659302,0.001613516011275351
"with a cast that includes some of the top actors working in independent film , lovely & amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .",0,0.9976949095726013,0.0023050650488585234
a disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by philip glass .,0,0.986444890499115,0.013555089943110943
"not for everyone , but for those with whom it will connect , it's a nice departure from standard moviegoing fare .",0,0.9955465793609619,0.004453361500054598
scores a few points for doing what it does with a dedicated and good-hearted professionalism .,0,0.9972864389419556,0.002713619964197278
"occasionally melodramatic , it's also extremely effective .",0,0.9473384618759155,0.05266154184937477
spiderman rocks,0,0.9384523630142212,0.06154761090874672
an idealistic love story that brings out the latent 15-year-old romantic in everyone .,0,0.9983568787574768,0.0016431286931037903
"at about 95 minutes , treasure planet maintains a brisk pace as it races through the familiar story . however , it lacks grandeur and that epic quality often associated with stevenson's tale as well as with earlier disney efforts .",0,0.9923822283744812,0.007617817260324955
it helps that lil bow wow . . . tones down his pint-sized gangsta act to play someone who resembles a real kid .,0,0.9026393890380859,0.09736055135726929
"guaranteed to move anyone who ever shook , rattled , or rolled .",1,0.005579239688813686,0.9944207072257996
"a masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview .",0,0.9985542893409729,0.0014456737553700805
"light , cute and forgettable .",0,0.9961896538734436,0.003810379421338439
"if there's a way to effectively teach kids about the dangers of drugs , i think it's in projects like the ( unfortunately r-rated ) paid .",1,0.013118961825966835,0.9868810176849365
"while it would be easy to give crush the new title of two weddings and a funeral , it's a far more thoughtful film than any slice of hugh grant whimsy .",0,0.995029628276825,0.004970388952642679
"though everything might be literate and smart , it never took off and always seemed static .",1,0.006367977242916822,0.9936320185661316
"cantet perfectly captures the hotel lobbies , two-lane highways , and roadside cafes that permeate vincent's days",0,0.9973312616348267,0.0026687507051974535
"ms . fulford-wierzbicki is almost spooky in her sulky , calculating lolita turn .",1,0.005898087751120329,0.9941019415855408
"though it is by no means his best work , laissez-passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them .",0,0.9984307885169983,0.0015692022861912847
"like most bond outings in recent years , some of the stunts are so outlandish that they border on being cartoonlike . a heavy reliance on cgi technology is beginning to creep into the series .",1,0.004504735115915537,0.9954953193664551
"newton draws our attention like a magnet , and acts circles around her better known co-star , mark wahlberg .",0,0.997563362121582,0.0024366897996515036
"the story loses its bite in a last-minute happy ending that's even less plausible than the rest of the picture . much of the way , though , this is a refreshingly novel ride .",0,0.9520566463470459,0.0479433536529541
fuller would surely have called this gutsy and at times exhilarating movie a great yarn .,1,0.23689007759094238,0.7631099224090576
"compleja e intelectualmente retadora , el ladrón de orquídeas es uno de esos filmes que vale la pena ver precisamente por su originalidad . '",1,0.012206891551613808,0.9877931475639343
the film makes a strong case for the importance of the musicians in creating the motown sound .,0,0.9973279237747192,0.002672112314030528
"karmen moves like rhythm itself , her lips chanting to the beat , her long , braided hair doing little to wipe away the jeweled beads of sweat .",1,0.02056632749736309,0.9794335961341858
gosling provides an amazing performance that dwarfs everything else in the film .,0,0.9985501170158386,0.0014498988166451454
"a real movie , about real people , that gives us a rare glimpse into a culture most of us don't know .",0,0.9979814291000366,0.002018523868173361
tender yet lacerating and darkly funny fable .,0,0.9979022741317749,0.002097714925184846
may be spoofing an easy target -- those old '50's giant creature features -- but . . . it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today .,0,0.9934321641921997,0.006567772943526506
